study_hours,attendance_percent,previous_score,assignments_completed,sleep_hours,final_score
3.0,86.5,82.2,5,7.0,100
8.0,62.4,57.1,3,8.6,94.6
6.2,95.9,60.6,6,4.4,98.2
1.9,89.8,86.8,4,8.0,88.8
6.1,56.8,69.3,8,4.3,97.1
4.8,77.1,63.8,8,7.2,97.7
8.5,86.8,64.0,7,7.1,100
5.2,92.2,72.6,8,8.3,100
8.5,58.9,88.5,6,7.8,100
4.0,77.2,57.9,10,5.1,92.6
8.2,70.3,88.4,7,6.8,100
3.2,73.3,70.5,6,7.5,91.4
6.8,77.1,83.6,4,5.5,100
7.0,71.6,70.4,8,6.1,100
7.7,69.9,78.7,7,5.5,100
3.8,88.4,92.3,5,5.0,100
7.6,67.4,72.4,7,8.9,100
4.2,68.6,78.9,5,5.4,90.6
9.8,79.9,78.4,5,7.2,100
1.1,67.8,66.3,8,4.9,81.5
1.5,97.3,66.3,4,6.0,90.6
1.5,61.7,71.0,7,4.4,85.5
3.2,80.1,62.9,6,7.9,84.4
3.7,81.5,63.6,3,7.0,93.4
7.7,97.6,51.4,6,5.3,100
6.0,62.0,62.5,10,5.5,100
3.1,86.8,78.7,10,4.4,100
8.1,81.5,84.2,6,6.1,100
5.9,84.1,90.0,5,4.4,100
7.7,80.6,55.9,4,6.3,100
3.7,73.1,55.0,10,6.2,86.3
7.6,82.2,41.4,6,8.8,93.7
8.5,80.9,92.3,7,6.9,100
5.7,74.9,55.3,9,7.2,96.8
5.4,59.1,59.1,8,5.6,95.1
4.7,77.3,76.4,9,8.1,100
6.0,75.5,57.3,8,4.6,98.5
8.4,55.1,87.8,10,6.1,100
2.7,71.3,81.6,10,7.8,100
9.3,74.7,78.4,4,4.1,100
6.7,91.0,79.0,7,6.8,100
9.9,96.1,65.4,4,7.2,100
2.4,97.0,56.1,7,6.1,85.2
5.1,61.5,50.5,5,8.3,87.7
3.5,90.6,62.8,7,8.1,95.1
6.3,100.0,66.9,5,6.2,100
5.4,70.0,82.0,9,6.3,100
7.3,80.7,52.8,9,4.2,100
7.7,86.7,84.6,9,8.9,100
2.4,98.4,46.9,8,8.3,84.6
8.9,74.8,68.9,10,4.1,100
9.7,58.4,83.0,7,5.7,100
7.2,84.2,86.8,9,8.8,100
5.4,79.3,74.0,6,7.2,95.0
9.3,99.9,81.1,9,8.9,100
1.9,62.5,56.5,3,4.2,66.5
8.2,68.2,60.6,5,5.2,94.5
2.6,62.9,73.5,9,7.1,96.1
3.2,96.1,47.9,10,7.2,89.2
9.1,75.9,55.8,5,4.4,100
9.5,99.4,56.5,9,7.5,100
10.0,93.4,45.9,9,6.9,100
6.2,99.7,56.2,9,5.4,99.6
7.7,57.2,73.4,10,8.2,100
9.1,89.9,52.7,8,5.1,100
7.8,89.5,77.4,5,7.1,100
9.1,84.1,57.0,10,4.2,100
9.2,69.7,62.9,6,4.7,100
5.9,98.7,69.2,7,8.2,100
5.3,91.3,81.1,8,8.0,100
5.2,58.4,81.5,6,8.3,97.4
9.7,91.2,60.1,9,4.1,100
5.8,75.5,77.0,7,6.9,100
2.0,65.5,41.4,8,8.6,71.4
3.0,57.8,85.3,7,7.2,95.0
1.3,99.8,46.4,6,8.4,84.5
2.2,75.4,76.9,9,6.9,94.2
6.9,92.5,73.9,7,4.2,99.6
4.3,75.0,92.3,8,4.5,100
9.8,71.1,61.9,6,8.8,100
9.5,92.1,45.0,6,7.2,100
8.1,66.0,46.9,6,4.3,94.4
7.9,64.3,51.9,6,5.6,100
1.0,93.6,48.0,5,6.7,85.8
8.2,59.9,87.7,5,4.1,100
3.9,62.8,42.9,9,6.6,83.1
7.7,76.4,82.8,4,6.3,100
7.5,95.9,76.2,7,6.3,100
9.7,57.7,66.3,9,6.1,100
5.0,95.5,57.7,5,4.3,97.6
3.5,83.5,70.2,8,5.9,93.9
5.5,74.4,83.6,4,8.3,99.3
6.9,89.6,79.6,6,6.2,100
8.4,72.9,80.1,8,6.1,100
7.0,71.8,48.4,10,4.3,100
1.9,88.2,84.6,3,6.9,88.9
6.1,69.8,46.7,8,8.4,99.7
9.2,57.3,55.8,7,5.8,100
6.2,64.6,76.1,6,8.2,98.8
2.0,67.5,52.4,9,8.2,89.7
9.8,91.8,73.7,3,7.0,100
1.3,67.3,81.9,8,5.8,84.9
2.6,61.4,76.2,4,4.7,83.0
7.7,64.7,63.1,8,4.8,100
3.8,69.6,91.8,4,8.4,100
1.4,58.7,64.4,9,6.4,90.0
5.0,67.3,81.5,4,5.7,99.9
6.3,78.7,57.0,6,6.0,100
6.4,55.3,56.6,6,7.8,93.6
2.1,77.4,63.7,5,5.9,80.5
7.3,77.5,85.8,8,4.4,100
1.2,96.5,87.4,9,6.9,99.7
